latitude,longitude,typologie,arrondissement,densite_200m,categorie_commerciale,surface_terrasse,categorie_encoded,arrondissement_encoded,cluster_hdbscan,cluster_size,cluster_persistence,combined_score
48.866330091701045,2.3854522524772896,CONTRE-TERRASSE OUVERTE,75020,14,RESTAURATION,19.2,18,19,242,16.0,0.0245411099173504,0.3926577586776064
48.854642373630554,2.3857018993955266,TERRASSE OUVERTE,75011,12,RESTAURATION,15.3,18,10,285,12.0,0.004996057147344906,0.05995268576813888
48.86116698012297,2.3410809317051617,TERRASSE OUVERTE,75001,10,RESTAURATION,2.75,18,0,-1,0.0,0.0,0.0
48.87125642267529,2.376612773633264,ETALAGE,75011,17,COMMERCE,0.25,1,10,104,17.0,0.009373226903583859,0.1593448573609256
48.8895941672243,2.335878734861472,TERRASSE OUVERTE,75018,8,RESTAURATION,6.72,18,17,-1,0.0,0.0,0.0
48.86014140137364,2.307491574572337,ETALAGE,75007,8,COMMERCE,2.1,1,6,-1,0.0,0.0,0.0
48.87509847699053,2.357885249532565,PLANCHER MOBILE,75010,25,AUTRE,13.2,0,9,-1,0.0,0.0,0.0
48.826252261256755,2.3600825088408004,TERRASSE OUVERTE,75013,10,RESTAURATION,2.5,18,12,58,18.0,0.014213427473797186,0.2558416945283494
48.892027882329394,2.3261804553519996,TERRASSE OUVERTE,75017,13,RESTAURATION,3.5999999999999996,18,16,227,9.0,0.004732871734827761,0.04259584561344985
48.861854415480515,2.3436490285431697,TERRASSE OUVERTE,75001,23,RESTAURATION,14.740000000000002,18,0,234,22.0,0.028699741076120732,0.6313943036746561
48.82812672469795,2.3064596636128165,TERRASSE OUVERTE,75014,9,RESTAURATION,8.64,18,13,-1,0.0,0.0,0.0
48.842123991561635,2.2819665729055103,COMMERCE ACCESSOIRE,75015,12,COMMERCE,0.6,1,14,62,13.0,0.007422066916795318,0.09648686991833913
48.86791474214206,2.303011726150513,TERRASSE OUVERTE,75008,24,RESTAURATION,6.872,18,7,258,6.0,0.026845290557299537,0.16107174334379723
48.88563429104053,2.337834092459688,ETALAGE,75018,15,COMMERCE,1.0125000000000002,1,17,-1,0.0,0.0,0.0
48.87237546225874,2.325040760101121,TERRASSE OUVERTE,75008,22,RESTAURATION,4.409999999999999,18,7,175,12.0,0.02280740016371398,0.27368880196456774
48.88101366126137,2.3287675276988606,TERRASSE FERMÉE,75009,7,RESTAURATION,6.300000000000001,18,8,-1,0.0,0.0,0.0
48.887351692118365,2.3474838601077916,TERRASSE OUVERTE,75018,17,RESTAURATION,3.135,18,17,303,12.0,0.02295522441711182,0.2754626930053419
48.88046026107101,2.3254394667012956,TERRASSE FERMÉE,75008,14,RESTAURATION,3.6959999999999997,18,7,296,15.0,0.01885959578299374,0.2828939367449061
48.846613848048285,2.3835652221664647,TERRASSE FERMÉE,75012,17,RESTAURATION,8.822999999999999,18,11,216,9.0,0.06384741667932743,0.5746267501139469
48.869078543943786,2.3675221188203195,TERRASSE OUVERTE,75010,15,RESTAURATION,3.0,18,9,321,5.0,0.009673450093505852,0.048367250467529266
48.87750705728722,2.3812966542128384,TERRASSE OUVERTE,75019,5,RESTAURATION,4.199999999999999,18,18,-1,0.0,0.0,0.0
48.84572611644298,2.30981753681749,CONTRE-TERRASSE OUVERTE,75015,11,RESTAURATION,12.0,18,14,-1,0.0,0.0,0.0
48.881191050904995,2.3089349535901103,TERRASSE OUVERTE,75017,2,RESTAURATION,17.0,18,16,-1,0.0,0.0,0.0
48.850292389668446,2.348239791118788,TERRASSE FERMÉE,75005,46,RESTAURATION,11.375,18,4,21,16.0,0.03566987064331823,0.5707179302930917
48.85033985379157,2.3484430007904153,TERRASSE FERMÉE,75005,46,RESTAURATION,6.7875,18,4,21,16.0,0.03566987064331823,0.5707179302930917
48.87901012240783,2.3293922524313295,TERRASSE FERMÉE,75009,3,RESTAURATION,7.7307999999999995,18,8,-1,0.0,0.0,0.0
48.85750914403637,2.3478560208094033,TERRASSE FERMÉE,75004,18,RESTAURATION,20.423199999999998,18,3,-1,0.0,0.0,0.0
48.86197414093531,2.4014499052029565,TERRASSE OUVERTE,75020,2,RESTAURATION,1.2299999999999998,18,19,-1,0.0,0.0,0.0
48.85429373033041,2.3498343245514346,COMMERCE ACCESSOIRE,75004,2,COMMERCE,1.8,1,3,27,6.0,0.0013771495853187148,0.008262897511912289
48.87343246873584,2.3902199902783305,TERRASSE OUVERTE,75020,16,RESTAURATION,6.6,18,19,110,8.0,0.002189876751054277,0.017519014008434215
48.8654224543857,2.3766562171710692,ETALAGE,75011,15,COMMERCE,1.35,1,10,101,20.0,0.006092361045193425,0.12184722090386849
48.87504856617158,2.3431300649809588,CONTRE-ÉTALAGE,75009,20,CONTRE-ÉTALAGE,5.8500000000000005,14,8,-1,0.0,0.0,0.0
48.8421429027185,2.2901966889397434,TERRASSE OUVERTE,75015,10,RESTAURATION,7.5,18,14,172,13.0,0.006171368441992101,0.08022778974589731
48.8408066259963,2.299914209302985,TERRASSE OUVERTE,75015,10,RESTAURATION,33.3925,18,14,210,8.0,0.003862148576177204,0.030897188609417633
48.85565484632276,2.3866655795429135,TERRASSE OUVERTE,75011,11,RESTAURATION,4.16,18,10,285,12.0,0.004996057147344906,0.05995268576813888
48.892208632591554,2.32413916328067,TERRASSE OUVERTE,75017,10,RESTAURATION,1.8719999999999999,18,16,227,9.0,0.004732871734827761,0.04259584561344985
48.881869941932706,2.3147845949370303,TERRASSE FERMÉE,75017,26,RESTAURATION,10.777999999999999,18,16,12,5.0,0.00042617146843157097,0.002130857342157855
