typologie,adresse,arrondissement,nom_enseigne,nom_societe,siret,longueur,largeur,periode_installation,lien_affichette,geo_shape,geo_point_2d
TERRASSE FERMÉE,1 RUE DE LYON,75012,SAGH,,30838689500020,8.2,1.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgToakbK1FSD7IKCyt8R8Yq4M3eJEa2hjQZMuPZmjx6LpR0uRSsJ0yTk%3d&p=chMOZL_3S4U6_ClyaDcu1c4iTuWm4jBI1wMt8jrG4cIarqrzHNV2-p-qHctBgGKs-StH_eJ4yJw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.37215680533224, 48.845882021184764], 'type': 'Point'}, 'properties': {}}","{'lon': 2.37215680533224, 'lat': 48.845882021184764}"
ETALAGE,1 RUE FRANCOIS PONSARD,75116,SATOURI,,31140206900026,3.85,0.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgbZNwEUU-d0bgr_yE_00OFF3dv74hfuDGWq5AYp_u3D2HDulNiZydxw%3d&p=chMOZL_3S4WBRSVjzjYbuXN9VbjyAhiawEj4MidnVHzkuPSm-G99PZxwL4TGCPPLY_bfZjL8PWk%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.274309069053383, 48.858550604364225], 'type': 'Point'}, 'properties': {}}","{'lon': 2.274309069053383, 'lat': 48.858550604364225}"
TERRASSE OUVERTE,5 PLACE DU MARECHAL JUIN,75017,CAFE PEREIRE,,31203344200012,9.39,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgYfPsT8F3JcSiWO46-RSF7cEGtahN_ZVvTsjUb5hQsvL79thmHPSrv8%3d&p=chMOZL_3S4WBRSVjzjYbuSjD-MLHjP6Cr6UsUQrgj0Oawn-VxBf7n1egGMXx3JILr2XW52zjX18%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.297494748557755, 48.884402404303486], 'type': 'Point'}, 'properties': {}}","{'lon': 2.297494748557755, 'lat': 48.884402404303486}"
ETALAGE,24 RUE DE LONGCHAMP,75116,F.P.P LONGCHAMP,,31205508000021,0.5,0.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgToakbK1FSD7xnxPlWDlFD9uKWxVbQ_iDR5ZKV9jDZ6bUxBPw5J5HG0%3d&p=chMOZL_3S4U6_ClyaDcu1e3vtkcH13FdUDAwFxydij5tSJcQQxdfA0jS-Ojv9Rk4HpJYRQ5mOLA%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.290483211597445, 48.8650329851345], 'type': 'Point'}, 'properties': {}}","{'lon': 2.290483211597445, 'lat': 48.8650329851345}"
TERRASSE FERMÉE,11 BOULEVARD MONTMARTRE,75002,VICTORIA STATION,,31481560600012,4.6,2.4,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgZH7Twm_6PgbTYOU-uwKJ40hs8uD5FGopXkkze8JcnyApKPU1ChrEB8%3d&p=chMOZL_3S4Vd7FEjAQ0taISDMtnKUBXFpzUukTTpVg7HhiBZRKRDCWvMAYR7SaZ3ioS5wyAdzWA%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3419715271356187, 48.871518189993644], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3419715271356187, 'lat': 48.871518189993644}"
ETALAGE,3 PLACE DES VICTOIRES,75001,TAI PING CARPETS EUROPE SA,,31486740900083,3.0,0.55,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgfM-dxICid2DLHl6DMsrAluli5wPybqWn2NmiUiF4UK6ZmVXQEDLhn4%3d&p=chMOZL_3S4Vd7FEjAQ0taC1HBwh2si36Q1R_0C96CEXAjcssytXpjdDCqMSmhh1VKOp8-jJLNZA%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3412335069000405, 48.86540270649161], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3412335069000405, 'lat': 48.86540270649161}"
ETALAGE,47 RUE BEAUNIER,75014,LE GLAM'S HOTEL,,31551782100015,0.58,0.58,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgc5DuSl8sQ2Jj1K57Mx3Rduw8uNaU88fPhbAmC0xdxzgWbLlcXH8ZqA%3d&p=chMOZL_3S4WBRSVjzjYbudncxdtdUUNsPoNJ7wqHwzFbee2nJFeqx8qcE-eWNqzzTPoDzABuXcs%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.32725983039532, 48.82452050771179], 'type': 'Point'}, 'properties': {}}","{'lon': 2.32725983039532, 'lat': 48.82452050771179}"
TERRASSE FERMÉE,204 BOULEVARD SAINT GERMAIN,75007,OUSSADI NACEUR,,31591512400012,5.5,2.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgToakbK1FSD7i-7umCFxTUBdfXmzK3TN27TYs_6Ug5jmMpsBlaNsAtI%3d&p=chMOZL_3S4U6_ClyaDcu1Y_SQzUoiv0KiKNccuTQv3-Xb2AD6G6VMbRd8NuqjNNmKLFCOZ_Azu8%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.329040834474215, 48.85500055169587], 'type': 'Point'}, 'properties': {}}","{'lon': 2.329040834474215, 'lat': 48.85500055169587}"
TERRASSE OUVERTE,45 RUE DE SEVRES,75006,CAFE DES OISEAUX,,31606811300018,4.7,1.85,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgYfPsT8F3JcSphkXKbUR5EJIMfT1zBEubUHX1wU_qI7IoxderbfYJwg%3d&p=chMOZL_3S4WBRSVjzjYbuQZbZVGbi9uZlE79hlabftuGYkfw3E1YxQ9sQ743lR6u85asZZ9obrE%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.325306007944187, 48.85060703470408], 'type': 'Point'}, 'properties': {}}","{'lon': 2.325306007944187, 'lat': 48.85060703470408}"
ETALAGE,114 AVENUE LEDRU ROLLIN,75011,ZAGHDOUN CLEMENT,,31762090400027,2.0,1.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXNKlEYflKygZb8qdLZp7li2IJ2YUb981EUNy0CpcGwypaz1FB7Oj8c%3d&p=chMOZL_3S4UGFsyyUE04CpdZ8BQensNe7UgFPbxXyTuSaPx4nYhTcMh3ZV01GnZ7gae2dhA_WJU%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3772073534261895, 48.85287775925515], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3772073534261895, 'lat': 48.85287775925515}"
