typologie,adresse,arrondissement,nom_enseigne,nom_societe,siret,longueur,largeur,periode_installation,lien_affichette,geo_shape,geo_point_2d,latitude,longitude
CONTRE-TERRASSE ESTIVALE SUR VOIE PIÉTONNE,23 RUE DU TEMPLE,75004,RAIDD BAR,,49251900000000.0,2.97,2.8,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgSB9Hva5KZS7yp0GvbY6oGFCB8IRVe3eQtETbLFdELR696pKyNCS9K8%3d&p=chMOZL_3S4Vbt23cdWa_yjO1yAOoVu27pRzgWUSf2sJb_JXcTktuZAWJrr-eIf5bK8ii8bTI1Xo%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3535370978514507, 48.85880940565792], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3535370978514507, 'lat': 48.85880940565792}",48.85880940565792,2.3535370978514507
CONTRE-TERRASSE PERMANENTE SUR STATIONNEMENT,23 RUE CHAUCHAT,75009,LE VIZIR,,49118300000000.0,6.5,1.7,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.339751775203551, 48.87460542315526], 'type': 'Point'}, 'properties': {}}","{'lon': 2.339751775203551, 'lat': 48.87460542315526}",48.87460542315526,2.339751775203551
TERRASSES OUVERTES SUR TROTTOIR,40 RUE DE PONTHIEU,75008,MAME KITCHEN,,83220200000000.0,3.2,0.6,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3077524823493327, 48.871315840971846], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3077524823493327, 'lat': 48.871315840971846}",48.871315840971846,2.3077524823493327
TERRASSES OUVERTES SUR VOIE PIÉTONNE,45 RUE DU FAUBOURG MONTMARTRE,75009,MOON FUSION,,98131200000000.0,5.2,0.85,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgUJAlfuHjsTWqjCVMICW8bn87gh3GB3vibYXqSJFKFzemnZj2TMfun8%3d&p=chMOZL_3S4USq6MyjhRwKpVCbclHmPBuoI4ESQIv8EkXZ9KxlZalbgJtgx95_Rl34B9UYuFPfog%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.34140799357363, 48.87464067073493], 'type': 'Point'}, 'properties': {}}","{'lon': 2.34140799357363, 'lat': 48.87464067073493}",48.87464067073493,2.34140799357363
TERRASSES OUVERTES SUR TROTTOIR,74 AVENUE DE CHOISY,75013,MACHI MACHI,,95366200000000.0,5.4,1.5,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3617309405702187, 48.824061406531946], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3617309405702187, 'lat': 48.824061406531946}",48.824061406531946,2.3617309405702187
CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,21 RUE DES CAPUCINES,75001,CANTINETTA VENTURA,,51530000000000.0,4.2,1.7,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWFm33XACttMBwRlGRj5-9FaBY0AxZmDfGt8ZVEWiYeZ&p=chMOZL_3S4U6_ClyaDcu1chBqaMN5geweg4ryhJg5VWSeRqmSKbOLKgibVcqybmryGCfGkriL1M%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.328496724012777, 48.869529985445055], 'type': 'Point'}, 'properties': {}}","{'lon': 2.328496724012777, 'lat': 48.869529985445055}",48.869529985445055,2.328496724012777
ÉTALAGE SUR TROTTOIR,4 RUE DU RENDEZ VOUS,75012,FROMAGERIE DU RENDEZ-VOUS,,80144300000000.0,0.9,0.9,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.405090966672826, 48.84505217887639], 'type': 'Point'}, 'properties': {}}","{'lon': 2.405090966672826, 'lat': 48.84505217887639}",48.84505217887639,2.405090966672826
TERRASSES OUVERTES SUR TROTTOIR,36 RUE DAUBENTON,75005,GOUT DE LA MAISON,,98185300000000.0,3.4,0.9,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.352304707471393, 48.841035783828715], 'type': 'Point'}, 'properties': {}}","{'lon': 2.352304707471393, 'lat': 48.841035783828715}",48.841035783828715,2.352304707471393
CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,14 RUE MARBEUF,75008,ANNA,,32630000000000.0,9.5,1.7,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgQfENU0uACqcqm9G2ZZJusZhDXhLx7qKIG8A1_LayO-F&p=chMOZL_3S4XGJQayF6V1YFdtyWId5wRec3DbTaJ09WZRPuGsx3VyJAZ67DQEGUuTRSNQarsLh5o%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.303051975795263, 48.86810975072977], 'type': 'Point'}, 'properties': {}}","{'lon': 2.303051975795263, 'lat': 48.86810975072977}",48.86810975072977,2.303051975795263
CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,11T RUE ABEL,75012,VIADUC,,84235900000000.0,2.52,2.1,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWqZJ5kC9BzU443zlbZ3I7XomeVgDCxyZOgwyiyBjTKQtZc2riXPjpo%3d&p=chMOZL_3S4VZ5KPIudm3d3STPwGdydbZk1jy4mH0YtOLh1dhCg9P9MukyMG3nrWrB91m7Xo7los%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.375390484113459, 48.847511636886395], 'type': 'Point'}, 'properties': {}}","{'lon': 2.375390484113459, 'lat': 48.847511636886395}",48.847511636886395,2.375390484113459
TERRASSES OUVERTES SUR TROTTOIR,16 BOULEVARD DE LA MADELEINE,75008,MAGDALENA,,93232200000000.0,3.6,1.8,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgSB9Hva5KZS70YZfJ1ZzxC-H0DFTmR3btU3hFcHAbMrV_6ZYqT6h06g%3d&p=chMOZL_3S4Vbt23cdWa_ykDLJRKIywiU8wHitDU3_zm6L0ddNguMgv_E2Fo_zz-rn-YWxNyK_vg%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3254581721776666, 48.869711267127634], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3254581721776666, 'lat': 48.869711267127634}",48.869711267127634,2.3254581721776666
CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,11 RUE MALTE BRUN,75020,BETTY,,50041600000000.0,4.0,1.2,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3980691605067372, 48.86434159484746], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3980691605067372, 'lat': 48.86434159484746}",48.86434159484746,2.3980691605067372
CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,6B RUE RAVIGNAN,75018,PATISSERIE GILLES MARCHAL,,80253100000000.0,4.3,2.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWTkiBY6Ew6O2z6QSlwbxh_c4VlPYz54_w-9w_9CTlB6hW8Skojsys0%3d&p=chMOZL_3S4U6_ClyaDcu1a7Mxj48CJQeSDsy8Q821JjHe3ao0VbvBvyuVauzhvuJQNFbePdCHGU%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3378653270364014, 48.88543219569853], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3378653270364014, 'lat': 48.88543219569853}",48.88543219569853,2.3378653270364014
TERRASSES OUVERTES SUR TROTTOIR,83 RUE MARGUERITE DE ROCHECHOUART,75009,BLACK PIDE,,85000200000000.0,3.3,1.5,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3466148817168246, 48.882429551911656], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3466148817168246, 'lat': 48.882429551911656}",48.882429551911656,2.3466148817168246
CONTRE-TERRASSE PERMANENTE SUR STATIONNEMENT,60 RUE DES ENVIERGES,75020,CANDLE KIDS COFFEE,,94962800000000.0,10.2,1.67,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3891356385743716, 48.87273388771005], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3891356385743716, 'lat': 48.87273388771005}",48.87273388771005,2.3891356385743716
ÉTALAGE SUR TROTTOIR,25 RUE DES LAVANDIERES SAINTE OPPORTUNE,75001,AL HALLAB 1881,,91826200000000.0,1.2,0.6,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.346639123166893, 48.85933993335386], 'type': 'Point'}, 'properties': {}}","{'lon': 2.346639123166893, 'lat': 48.85933993335386}",48.85933993335386,2.346639123166893
