typologie,adresse,arrondissement,nom_enseigne,nom_societe,siret,longueur,largeur,periode_installation,lien_affichette,geo_shape,geo_point_2d,latitude,longitude
CONTRE-TERRASSE OUVERTE,14 RUE DES PANOYAUX,75020,LOU PASCALOU,,52384400000000.0,4.8,4.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXZ_KiXLZq8f8iJqKvI4hoHOmUGnOeppUHbELO5yok2L-KqCX7qZ9V8%3d&p=chMOZL_3S4Vd7FEjAQ0taMI1MuhNttdNzKfjeDZyRwP3fyqYH8SyyiQptG6JPJtWFrktS4Xi1-A%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3854522524772896, 48.866330091701045], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3854522524772896, 'lat': 48.866330091701045}",48.866330091701045,2.3854522524772896
TERRASSE OUVERTE,167 BOULEVARD VOLTAIRE,75011,,,51285600000000.0,7.65,2.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgb2Cj--5N_VhWknIqV5_MgjrFrb2GTnjmVXzkypuJYNWORPuZV40DAE%3d&p=chMOZL_3S4WG6aKVUeyH5Ell8eP_WOLTyN05jqL38WZZTow38whMoUeN0pT344cKT1tHI9pRLrU%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3857018993955266, 48.854642373630554], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3857018993955266, 'lat': 48.854642373630554}",48.854642373630554,2.3857018993955266
TERRASSE OUVERTE,16 RUE DU LOUVRE,75001,CHEZ ALEXANDRE,,42221800000000.0,2.5,1.1,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgSB9Hva5KZS7UqyiIHpwianFAYyEOJKCQTLNTBPxaN_gqyHZ2BV3MNI%3d&p=chMOZL_3S4Vbt23cdWa_yqkU344rAykIO0DHScNwjxJTwYEL59sc7_2oPvj4NMdkIQKqhp4aZl8%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3410809317051617, 48.86116698012297], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3410809317051617, 'lat': 48.86116698012297}",48.86116698012297,2.3410809317051617
ETALAGE,17 RUE LOUIS BONNET,75011,TINTIN,,90784400000000.0,0.5,0.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgSSJdkLfUHlSC7CGMgHbBTqweKxQ64m1P6dgeZNiyjqn&p=chMOZL_3S4XCLyMR07QRANwWBxZqkakOvW1ndIcO_nnVXzqHgge0-bFgxXfPOKWj1s7MeFom5Ho%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.376612773633264, 48.87125642267529], 'type': 'Point'}, 'properties': {}}","{'lon': 2.376612773633264, 'lat': 48.87125642267529}",48.87125642267529,2.376612773633264
TERRASSE OUVERTE,65 RUE CAULAINCOURT,75018,LE CEPAGE MONTMARTROIS,,92538200000000.0,5.6,1.2,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.335878734861472, 48.8895941672243], 'type': 'Point'}, 'properties': {}}","{'lon': 2.335878734861472, 'lat': 48.8895941672243}",48.8895941672243,2.335878734861472
ETALAGE,22 RUE JEAN NICOT,75007,CIAO RAGAZZI,,83753300000000.0,4.2,0.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgR19xlDjkOjKw8VNSgBPHfGI9_Bs4YH0ilhYQrgYdjHdJxF-qYBlNdM%3d&p=chMOZL_3S4WzSj2VHhwG-1FRY9TgsPUDEGJZc2smj7OD06AX9v3R33Cd8rLeOAjsvK0CYg8CA_I%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3074915745723366, 48.86014140137364], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3074915745723366, 'lat': 48.86014140137364}",48.86014140137364,2.3074915745723366
PLANCHER MOBILE,70 BOULEVARD DE STRASBOURG,75010,LE BUFFET DE LA GARE,,80337300000000.0,5.5,2.4,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgevuRxZsN1AkI9_pxuB2CXNStw12qPUsFQrdpWt2f_2tuTOO-mBzH-Y%3d&p=chMOZL_3S4WzSj2VHhwG-_LWyjCGJU6mrvWhtL410r0sItNtRWi_gRHMZA-g2wBOt4UiNlf1-Cw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.357885249532565, 48.87509847699053], 'type': 'Point'}, 'properties': {}}","{'lon': 2.357885249532565, 'lat': 48.87509847699053}",48.87509847699053,2.357885249532565
TERRASSE OUVERTE,122 RUE DE TOLBIAC,75013,LA COMMEDIA,,88156400000000.0,2.5,1.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgQKbzATxwIZYtwUPrsBLjkuZgbBxq4Lhu6EU634np0D7ERdhpRFW1yk%3d&p=chMOZL_3S4Vd7FEjAQ0taKqG7aD7VTtdlKBUpcvXB1cffzm15sJ275uCa3c20oKkiBkbtghO3aA%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3600825088408004, 48.826252261256755], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3600825088408004, 'lat': 48.826252261256755}",48.826252261256755,2.3600825088408004
TERRASSE OUVERTE,181 RUE LEGENDRE,75017,AUX DES CALES,,80865300000000.0,6.0,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWiT-93SdZClOVPddM35p52k_-bq-gIffylmuhsG0Rs_zpO1Lnd4XDI%3d&p=chMOZL_3S4Vd7FEjAQ0taDX8dp53f_iTRHNM30_b84Ua30rEsr9m9VMCk-75XG1Zi8huNU9cyuw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3261804553519996, 48.892027882329394], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3261804553519996, 'lat': 48.892027882329394}",48.892027882329394,2.3261804553519996
TERRASSE OUVERTE,37 RUE BERGER,75001,LE BISTROT D'EUSTACHE,,83252200000000.0,6.7,2.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXZ_KiXLZq8fCAhCt3DWuizai1ve8UaXJClWWz5bQrEaY5RGDGaAOqI%3d&p=chMOZL_3S4Vd7FEjAQ0taBBY8vw3buF0E0uCoSsI23nB6tlgHC5NrhQHU16lpMH1HNUBZR2Aypo%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3436490285431697, 48.861854415480515], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3436490285431697, 'lat': 48.861854415480515}",48.861854415480515,2.3436490285431697
TERRASSE OUVERTE,221 RUE RAYMOND LOSSERAND,75014,NIPPON SHOP,,81278200000000.0,7.2,1.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWTkiBY6Ew6OUs2r9SMhA2O_3E2XMEgLgyZ23bqs0iJnxhE6yzTln9c%3d&p=chMOZL_3S4U6_ClyaDcu1cU4VKGTFD6yKc8V7ZhH_63s0uqf34isaeadPXsM8M1xFOF9u59by0o%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3064596636128165, 48.82812672469795], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3064596636128165, 'lat': 48.82812672469795}",48.82812672469795,2.3064596636128165
COMMERCE ACCESSOIRE,161 RUE SAINT-CHARLES,75015,AU MATCHA,,81167100000000.0,1.0,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgQfENU0uACqcgm5ijyQuX-WJqVQUnFmmoodn8PWtobHN7LxbPTQnYXs%3d&p=chMOZL_3S4XGJQayF6V1YM5-goizjkM_xgg00RLTLtIo1CDmz0XCPmTRYlgsrD7CDlLxqmzOiao%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.2819665729055103, 48.842123991561635], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2819665729055103, 'lat': 48.842123991561635}",48.842123991561635,2.2819665729055103
TERRASSE OUVERTE,20 RUE CLEMENT MAROT,75008,ANNA,,32630000000000.0,8.59,0.8,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgQfENU0uACqcqm9G2ZZJusZhDXhLx7qKIG8A1_LayO-F&p=chMOZL_3S4XGJQayF6V1YFdtyWId5wRec3DbTaJ09WZRPuGsx3VyJAZ67DQEGUuTRSNQarsLh5o%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.303011726150513, 48.86791474214206], 'type': 'Point'}, 'properties': {}}","{'lon': 2.303011726150513, 'lat': 48.86791474214206}",48.86791474214206,2.303011726150513
ETALAGE,9 RUE RAVIGNAN,75018,PATISSERIE GILLES MARCHAL,,80253100000000.0,1.35,0.75,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWTkiBY6Ew6O2z6QSlwbxh_c4VlPYz54_w-9w_9CTlB6hW8Skojsys0%3d&p=chMOZL_3S4U6_ClyaDcu1a7Mxj48CJQeSDsy8Q821JjHe3ao0VbvBvyuVauzhvuJQNFbePdCHGU%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.337834092459688, 48.88563429104053], 'type': 'Point'}, 'properties': {}}","{'lon': 2.337834092459688, 'lat': 48.88563429104053}",48.88563429104053,2.337834092459688
TERRASSE OUVERTE,8 RUE DE CASTELLANE,75008,L'EPICERIE ET ASSOCIÉS,,81745200000000.0,7.35,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgULWuNqL_wc9bHV4b6SYPVMPMDUvV-YfHso5mbfVDNkPEiUkzKo8AYs%3d&p=chMOZL_3S4Vd7FEjAQ0taPHS3oce2FZDY-gpQv_IeltZ4P8QEQzxVvHAeiJYGPHYT-TcLZ1EXrg%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.325040760101121, 48.87237546225874], 'type': 'Point'}, 'properties': {}}","{'lon': 2.325040760101121, 'lat': 48.87237546225874}",48.87237546225874,2.325040760101121
TERRASSE FERMÉE,1 RUE CARDINAL MERCIER,75009,BISTROT DE L'OEUVRE,,50215600000000.0,8.4,0.75,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgRWmauLypLeRtElyTJ1_f8PIReNGzbjFYnBotVWjrRHfSWc_k8pbEtM%3d&p=chMOZL_3S4U6_ClyaDcu1Xr88PwmbP6NwjJfotkcUc0ZbrFfJj93GeuB3ZED00VOfkCjSGcMZNc%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3287675276988606, 48.88101366126137], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3287675276988606, 'lat': 48.88101366126137}",48.88101366126137,2.3287675276988606
TERRASSE OUVERTE,2 RUE RAMEY,75018,LA TRAVERSEE,,82904700000000.0,3.3,0.95,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgUjl-U3gqn1YchxxQvbIbc40giUxZzNwnUwridZMt4XLOY7fo406Ef8%3d&p=chMOZL_3S4Vd7FEjAQ0taBmdHbYAMFAdJ8SZIsFr-zdxo_2zKGoVbO71AGdT-P44ro2LgAehXE4%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3474838601077916, 48.887351692118365], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3474838601077916, 'lat': 48.887351692118365}",48.887351692118365,2.3474838601077916
TERRASSE FERMÉE,18 RUE DE MOSCOU,75008,LES TANINS,,88255700000000.0,5.28,0.7,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXYA2mumeW9gySENwKEHPx7PxEJQbR5shvJH1gj42u4hvML3LJKU13g%3d&p=chMOZL_3S4WzSj2VHhwG-_vTJQTgxh_vhaPQYEj_d5UmQMGW8Qfw6CIVYF_031F0Fj-aPMD_r7E%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3254394667012956, 48.88046026107101], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3254394667012956, 'lat': 48.88046026107101}",48.88046026107101,2.3254394667012956
TERRASSE FERMÉE,17 RUE DE CHALIGNY,75012,L AUBERGEADE,,32627700000000.0,5.1,1.73,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgTFS3zp6XwKhA2EG5DIziUQPFnsQklS2WMlmLxJTkiNQUwlZaqxqfkw%3d&p=chMOZL_3S4WzSj2VHhwG-wtulSZOuWok0YqrbmQZDcGRYWbAcFLsT3Ps7w_koznePClzMawPSPw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3835652221664647, 48.846613848048285], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3835652221664647, 'lat': 48.846613848048285}",48.846613848048285,2.3835652221664647
TERRASSE OUVERTE,36 QUAI DE JEMMAPES,75010,CANAL THAI,,83131200000000.0,5.0,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgSB9Hva5KZS7dRSuk0UqGa9pG7y88zeg8aKxvMGPeIqa&p=chMOZL_3S4Vbt23cdWa_yvYOFRWZNV0fZ8nJMRH6RMWJK_49HaLnQ8Zv05zGn-WktFU4Oe-ghZI%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3675221188203195, 48.869078543943786], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3675221188203195, 'lat': 48.869078543943786}",48.869078543943786,2.3675221188203195
TERRASSE OUVERTE,26 RUE BOTZARIS,75019,TERRASSE DE LA SYBILLE,,82891800000000.0,2.8,1.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgZc9_vLAsuuFi2-KsIw-8l6O4Gc00n64IDhn8XDp6urM4uaEchJHur0%3d&p=chMOZL_3S4UU-U3GfiS6tUuG1v7pkK5Wpl_9jadVj-hsCoNydvOLXEbx0RJuGQC56YfVjMl1wKw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3812966542128384, 48.87750705728722], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3812966542128384, 'lat': 48.87750705728722}",48.87750705728722,2.3812966542128384
CONTRE-TERRASSE OUVERTE,163 AVENUE DE SUFFREN,75015,LE CRISTAL,,45291200000000.0,8.0,1.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXZ_KiXLZq8fSQCMDku3e8GRAxt2F2G_uvz7UiX8RtV9V2DY3oUGg5c%3d&p=chMOZL_3S4Vd7FEjAQ0taDko9fD64gDM1pJnu-OVZ0BCP81zajLQjAfv-xAr22RPog3e3-zPY9g%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3098175368174894, 48.84572611644298], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3098175368174894, 'lat': 48.84572611644298}",48.84572611644298,2.3098175368174894
TERRASSE OUVERTE,1 RUE DE PHALSBOURG,75017,MAGNUM 150 CL,,91777200000000.0,17.0,1.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgUJx2uOYSAiWFvmAafJ7pXndDo06lVhX8XqWr2To6XfiVw1hrf7zDM8%3d&p=chMOZL_3S4WBRSVjzjYbuS46sITPlJmm-RZ455eQWBfiogUzVLUxg6ZrTKxdOPmVnmJPuR3fOEQ%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3089349535901103, 48.881191050904995], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3089349535901103, 'lat': 48.881191050904995}",48.881191050904995,2.3089349535901103
TERRASSE FERMÉE,60 BOULEVARD SAINT GERMAIN,75005,CAFE DU METRO,,55209400000000.0,9.1,1.25,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgVHUAfzz0eYbWlcrmbfhwG3YEJX15WF13oAE2fNnCk60fqFRSdnOy3Q%3d&p=chMOZL_3S4WBRSVjzjYbuQoZihOAxLmeUd-o8QIL42qJaXbDi7XaTJCC-qO6F0FG78MVS4m3NqI%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3482397911187882, 48.850292389668446], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3482397911187882, 'lat': 48.850292389668446}",48.850292389668446,2.3482397911187882
TERRASSE FERMÉE,18 PLACE MAUBERT,75005,CAFE DU METRO,,55209400000000.0,5.43,1.25,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgVHUAfzz0eYbWlcrmbfhwG3YEJX15WF13oAE2fNnCk60fqFRSdnOy3Q%3d&p=chMOZL_3S4WBRSVjzjYbuQoZihOAxLmeUd-o8QIL42qJaXbDi7XaTJCC-qO6F0FG78MVS4m3NqI%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3484430007904153, 48.85033985379157], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3484430007904153, 'lat': 48.85033985379157}",48.85033985379157,2.3484430007904153
TERRASSE FERMÉE,2 RUE DE MILAN,75009,L'ETINCELLE,,79193200000000.0,10.04,0.77,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgQSGI64wXs7uO1ddFFsCfktAlxJPs-YrwG329qyDHYtugT3Erzf46QY%3d&p=chMOZL_3S4XCLyMR07QRAOUrRJvKAzQj4Q2BDjVdzYCZKXmGSKk_QahPdZSlC1xtra8N9RNrhLo%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3293922524313295, 48.87901012240783], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3293922524313295, 'lat': 48.87901012240783}",48.87901012240783,2.3293922524313295
TERRASSE FERMÉE,2 PLACE DU CHATELET,75004,LE SARAH BERNHARDT,,55207300000000.0,10.42,1.96,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgUJx2uOYSAiWX7Xs-ks0lZVjn4bJVfB6aqNVmx_PjB_Np10FjBwSCMw%3d&p=chMOZL_3S4WBRSVjzjYbuagLADSW8Lz-7bgficnauzE_IFAhUo7bxUufhvDMbcQG_apwC5XzLak%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3478560208094033, 48.85750914403637], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3478560208094033, 'lat': 48.85750914403637}",48.85750914403637,2.3478560208094033
TERRASSE OUVERTE,2 VILLA STENDHAL,75020,LE STENDHAL,,83098200000000.0,2.05,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXSn34anfyJ7Ws2x1kkKb1Wd6JZo4wrvi79H0tk506qxiJKEgvQwQbI%3d&p=chMOZL_3S4WzSj2VHhwG-9TL14T5_fDMRdxX7lBsE8opgIlyJpuMfPQ71CZpfi1z8kXISor0k2E%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.4014499052029565, 48.86197414093531], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4014499052029565, 'lat': 48.86197414093531}",48.86197414093531,2.4014499052029565
COMMERCE ACCESSOIRE,11 RUE D ARCOLE,75004,LA DAME DE PARIS,,62202900000000.0,1.8,1.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgZH7Twm_6Pgb2Ts31CaySi6pis326bxBzSCs2fiGLGQkyd4dxWQ7wDI%3d&p=chMOZL_3S4Vd7FEjAQ0taA-u6TCvN3mqOrHKaYSScTnHhWijPlej_A-oihgDHtSG-u1jSdbC6fo%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3498343245514346, 48.85429373033041], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3498343245514346, 'lat': 48.85429373033041}",48.85429373033041,2.3498343245514346
TERRASSE OUVERTE,6 RUE LEVERT,75020,LES RIGOLES,,53953100000000.0,6.6,1.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgYjkNKsSenBROskOly4LsUgDTSBPOPppDv-C6ZIrVHqFV9jlB1b1ZmU%3d&p=chMOZL_3S4Vbt23cdWa_yujtsBmJhPuEbYuDvA4yMAY5AC-SXk2QJPo0dg3jtFY9xO5q_kDfXEM%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3902199902783305, 48.87343246873584], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3902199902783305, 'lat': 48.87343246873584}",48.87343246873584,2.3902199902783305
ETALAGE,88 RUE OBERKAMPF,75011,BINKS,,88344900000000.0,2.7,0.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgZaz1KQ-FKyxEN3hDm2HL0oTQ8IlmixqnBpKMX0uhVgTbwqVaKuzR3g%3d&p=chMOZL_3S4WKDQ2J-0IW85IUKkBq9ppMzL-TWXAuYZVn7ZJZs3HQz9ig6ZyTG0T-zWU6obNd008%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3766562171710692, 48.8654224543857], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3766562171710692, 'lat': 48.8654224543857}",48.8654224543857,2.3766562171710692
CONTRE-ÉTALAGE,18 RUE CADET,75009,MAISON BAROCHE,,93075400000000.0,6.5,0.9,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgbZNwEUU-d0bcuKTxoZsTQd1ixDUHqFyb5GEmlrZHF_WG3dVn4QLuxc%3d&p=chMOZL_3S4WBRSVjzjYbucUqmRFUNIlvJHXFIsKBhhsDTtocyM6QGurSafHAb-K3YFg9499150Q%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3431300649809588, 48.87504856617158], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3431300649809588, 'lat': 48.87504856617158}",48.87504856617158,2.3431300649809588
TERRASSE OUVERTE,22 AVENUE FELIX FAURE,75015,LES GAMINS,,81897100000000.0,5.0,1.5,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgYswA6uKZDxKW3_AAZgzQxLuHu4_oPBegc41KoLRm-07gIcKaNFyK04%3d&p=chMOZL_3S4Vd7FEjAQ0taLvZmuyq5KNepjDxxgETZwerYwW4b3d_aQSJjQF_xJv-PWEzURQhlYU%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.2901966889397434, 48.8421429027185], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2901966889397434, 'lat': 48.8421429027185}",48.8421429027185,2.2901966889397434
TERRASSE OUVERTE,30 RUE PECLET,75015,LE BLOMET,,85397100000000.0,9.25,3.61,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWiT-93SdZClwlz6MUFnZr5CvvJj6zlQF60cYLgaEkZb&p=chMOZL_3S4Vd7FEjAQ0taICGnKd-ZmwO9Rl1kre16MVEk2JxDLWzWUoCAelI6X-njitbyN5f4mY%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.299914209302985, 48.8408066259963], 'type': 'Point'}, 'properties': {}}","{'lon': 2.299914209302985, 'lat': 48.8408066259963}",48.8408066259963,2.299914209302985
TERRASSE OUVERTE,42 RUE LEON FROT,75011,BISTROT MELAC,,49968000000000.0,6.4,0.65,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgXNKlEYflKygSKtwNefG4xzW2qKRPUq1WJubfmxQ8_rOcV0xloBZY_I%3d&p=chMOZL_3S4UGFsyyUE04CnpvK51ZVRh_ROJ9zeU1ZsYOWIIkQEy3VWQnz1iwpdZk2DeLNdhAD-g%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3866655795429135, 48.85565484632276], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3866655795429135, 'lat': 48.85565484632276}",48.85565484632276,2.3866655795429135
TERRASSE OUVERTE,44 RUE GUY MOQUET,75017,LES TABLES D'AUGUSTIN,,81803300000000.0,3.12,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgWiT-93SdZCljD-SQb16E6nm2amxL5X3T5moEdxe7H89UCglOn8c_XM%3d&p=chMOZL_3S4Vd7FEjAQ0taDekLt6YgwYl2hDgH1u0xkOOpcaACb1wm_sIv7uIrfDm3BTxmDpV_F4%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.32413916328067, 48.892208632591554], 'type': 'Point'}, 'properties': {}}","{'lon': 2.32413916328067, 'lat': 48.892208632591554}",48.892208632591554,2.32413916328067
TERRASSE FERMÉE,2 RUE DE TOCQUEVILLE,75017,L'IMPREVU,,85203100000000.0,6.34,1.7,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgSB9Hva5KZS7aOMcXVcFaAM-grek2xbR2KaIJ_yc8jR_&p=chMOZL_3S4Vbt23cdWa_yuYWoKp-X1Qsb33dnH6AUeuaIuAt3U49hNSqY4jNPQJF4GvYqPCdFY4%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3147845949370303, 48.881869941932706], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3147845949370303, 'lat': 48.881869941932706}",48.881869941932706,2.3147845949370303
TERRASSE OUVERTE,11 RUE CRESPIN DU GAST,75011,L'ALLER RETOUR,,84973500000000.0,14.5,0.6,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmge3IQBEFrHb_wgzjAXZPRYoM9Z1ERoqh5-YgZawlhEsV&p=chMOZL_3S4Vd7FEjAQ0taH-UwMuRIRzJHaURcdEyWpgNJv8VDCrggwgM3j9SHN8eQil7MkW5AaY%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.381983646640055, 48.86576190750405], 'type': 'Point'}, 'properties': {}}","{'lon': 2.381983646640055, 'lat': 48.86576190750405}",48.86576190750405,2.381983646640055
